IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.105.223,4,4,0.00,180.88,0.81
162.159.44.161,4,4,0.00,186.09,0.78
104.19.102.234,4,4,0.00,176.32,0.76
104.19.21.230,4,4,0.00,186.36,0.75
104.19.61.16,4,4,0.00,181.74,0.74
104.19.63.182,4,4,0.00,186.20,0.72
104.19.65.115,4,4,0.00,180.69,0.71
104.19.68.50,4,4,0.00,182.65,0.67
173.245.49.42,4,4,0.00,182.28,0.25
104.19.197.249,4,4,0.00,177.54,0.00
